Ependy,Medullo,Aggressive,Cranio.LGG_BRAF.V600E,HGG.rich,Ganglio.rich,LGG_BRAF.fusion.rich,LGG_BRAF.WT.rich
-1.97408,-0.72067,-0.32561,-0.29731,-0.72197,1.45083,0.41109,-0.42869
0.18166,-0.73018,-0.93272,-2.04738,0.00355,-0.21239,-0.77457,-0.07213
-0.80374,-7.47547,-9.55926,-2.99932,-2.28365,13.67246,1.24008,0.41656
-0.43646,-0.55003,-5.66888,-3.13727,-1.44834,14.46893,-0.31889,0.97466
-0.67492,-4.1687,-8.24338,-4.98021,-2.1085,11.91238,0.0073,-0.16591
-0.45404,-3.29123,-7.55136,-3.81225,-1.20188,13.64946,0.77851,0.27121
-2.30479,-6.97751,-11.37788,-6.42065,-2.56892,10.90518,0.13989,-0.06901
3.48728,-6.68148,0.03894,1.61615,0.14958,-2.96755,2.91615,-0.46935
-6.81501,4.51603,-3.91842,-10.65452,-0.29914,8.08692,-1.20975,-0.81107
-0.06386,0.26483,-0.80446,-0.92119,0.0847,8.0477,0.68948,-0.99321
-2.3293,-0.55027,-2.53919,-0.11648,-0.05282,-0.64084,2.44059,-0.17076
-0.57829,0.66837,-2.71017,-4.666,-1.43563,8.71357,-2.31249,-0.0211
0.35905,2.08278,0.34485,1.14301,0.15498,2.92453,0.12496,-0.49367
-0.95711,-2.61276,-7.52367,-0.46564,-0.63919,0.0366,5.08928,4.88274
-1.06911,2.48554,1.39445,-0.14096,1.47723,-2.92808,0.39281,-1.13123
-0.96762,-0.76543,-5.19572,-0.43923,-0.40411,-1.07808,1.40319,0.2255
1.11544,-0.6238,0.26132,2.43333,0.35075,-1.33156,4.04976,2.24952
0.08663,-0.53574,0.53771,0.41256,1.14174,-1.53736,0.1822,-0.35407
0.13363,-0.69825,-0.06236,1.04451,0.20104,0.57415,-0.65833,1.48455
-3.66015,1.69343,-3.67253,-6.87133,-0.12308,0.97201,4.30733,-0.1114
-1.12517,0.79923,-1.99943,-3.72509,-0.33122,6.24583,-0.95252,0.2571
-3.63841,-11.09196,-8.54925,0.06248,0.05736,-0.79412,3.67368,0.42091
0.06253,0.22317,-1.03922,-0.83394,-0.15599,0.24953,-0.65395,-0.04579
-0.15069,1.15227,0.15332,0.51406,1.22025,-3.36525,0.47132,-0.91994
-1.81822,-1.67674,-0.25508,1.28513,0.1009,-1.22362,-0.01291,-0.07637
2.63083,-2.69782,-0.3831,0.52558,0.04871,0.34529,-0.76736,0.57349
0.30688,13.21645,4.29273,0.82838,0.33994,-2.37866,-0.54147,-3.51283
0.05188,14.99528,6.78555,0.29649,0.40063,-2.56417,-1.0764,-5.88125
0.52087,0.15675,0.25398,0.03869,0.05887,-0.93618,0.90265,-0.13647
