Intensity,Intensity L,Intensity H,Intensity A,Intensity L A,Intensity H A,Intensity B,Intensity L B,Intensity H B
29122000,29122000,NA,NA,NA,NA,29122000,29122000,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
60615000,44139000,16476000,60615000,44139000,16476000,NA,NA,NA
318830000,169880000,148960000,171910000,95812000,76099000,146920000,74064000,72859000
3130000000,2233800000,896200000,1859000000,1443700000,415300000,1271000000,790090000,480900000
NA,NA,NA,NA,NA,NA,NA,NA,NA
173820000,148210000,25603000,NA,NA,NA,173820000,148210000,25603000
84873000,69834000,15038000,84873000,69834000,15038000,NA,NA,NA
110980000,61103000,49876000,24867000,17741000,7125900,86112000,43362000,42750000
NA,NA,NA,NA,NA,NA,NA,NA,NA
31866000000,18606000000,13260000000,16713000000,8854600000,7858600000,15153000000,9751600000,5401100000
7321300,6210600,1110700,NA,NA,NA,7321300,6210600,1110700
144720000,107120000,37598000,109180000,71585000,37598000,35539000,35539000,NA
1474500000,928470000,546050000,330580000,223690000,106890000,1143900000,704770000,439170000
424420000,218580000,205850000,364930000,174810000,190130000,59490000,43767000,15723000
60125000,60125000,NA,NA,NA,NA,60125000,60125000,NA
14557000000,8164400000,6392200000,7902700000,4080600000,3822100000,6653900000,4083800000,2570100000
11434000000,6575700000,4858400000,6310100000,3111400000,3198700000,5124000000,3464300000,1659700000
14675000000,7384500000,7290600000,9277600000,4816100000,4461500000,5397500000,2568400000,2829200000
6815500000,4015600000,2799900000,4271700000,2349500000,1922200000,2543800000,1666100000,877690000
4312900000,2947700000,1365200000,1637700000,593240000,1044400000,2675200000,2354400000,320740000
281770000,160280000,121490000,92714000,63248000,29466000,189060000,97034000,92023000
19377000,14383000,4994500,19377000,14383000,4994500,NA,NA,NA
85134000,57519000,27615000,59156000,35653000,23503000,25978000,21865000,4112600
979670000,640140000,339540000,782640000,548570000,234070000,197030000,91568000,105470000
81635000,62951000,18684000,81635000,62951000,18684000,NA,NA,NA
2906500000,1555000000,1351400000,1774800000,778290000,996480000,1131700000,776720000,354970000
1069300000,674740000,394590000,448610000,320510000,128100000,620720000,354230000,266490000
332490000,170300000,162190000,116410000,50544000,65862000,216090000,119760000,96328000
716100000,460360000,255740000,272360000,163210000,109150000,443740000,297150000,146590000
NA,NA,NA,NA,NA,NA,NA,NA,NA
5381300000,3385600000,1995700000,3500500000,2502100000,998410000,1880800000,883480000,997300000
1234000000,854170000,379870000,949700000,749020000,200680000,284340000,105150000,179190000
356780000,233910000,122870000,356780000,233910000,122870000,NA,NA,NA
3886600000,1842600000,2044000000,2700400000,1178700000,1521700000,1186200000,663880000,522280000
74866000,45382000,29485000,NA,NA,NA,74866000,45382000,29485000
16753000000,10390000000,6363900000,7976300000,3730100000,4246200000,8777200000,6659500000,2117700000
681740000,387990000,293760000,451780000,252200000,199580000,229960000,135790000,94178000
2632600000,1662800000,969820000,1763500000,1131900000,631590000,869150000,530930000,338220000
219380000,219380000,NA,219380000,219380000,NA,NA,NA,NA
234390000,158270000,76121000,NA,NA,NA,234390000,158270000,76121000
22370000000,15834000000,6536500000,13756000000,10822000000,2933000000,8614600000,5011100000,3603500000
16249000000,10848000000,5401100000,7216400000,5353600000,1862800000,9032900000,5494600000,3538200000
296180000,165680000,130500000,296180000,165680000,130500000,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
544730000,255110000,289620000,150860000,106100000,44760000,393870000,149010000,244860000
967700000,585670000,382030000,529720000,294400000,235320000,437980000,291270000,146710000
34441000000,20136000000,14305000000,19540000000,10175000000,9365600000,14900000000,9961300000,4939100000
304680000,244930000,59745000,33848000,NA,33848000,270830000,244930000,25896000
NA,NA,NA,NA,NA,NA,NA,NA,NA
606190000,331950000,274240000,354660000,92276000,262380000,251540000,239680000,11860000
3938200,3260100,678070,NA,NA,NA,3938200,3260100,678070
514020000,300240000,213780000,223690000,156380000,67311000,290330000,143860000,146470000
12535000000,7355400000,5179800000,6536700000,3805000000,2731700000,5998500000,3550400000,2448100000
1262600,697940,564690,1262600,697940,564690,NA,NA,NA
6534900000,3772900000,2762000000,4143300000,2131100000,2012100000,2391600000,1641800000,749810000
37855000,34175000,3679300,37855000,34175000,3679300,NA,NA,NA
1507400000,917660000,589730000,780220000,606310000,173920000,727170000,311360000,415810000
437220000,365970000,71247000,437220000,365970000,71247000,NA,NA,NA
4031900000,2293200000,1738700000,1603300000,687400000,915940000,2428600000,1605800000,822730000
NA,NA,NA,NA,NA,NA,NA,NA,NA
228530000,113750000,114780000,16489000,11644000,4844300,212050000,102110000,109940000
69757000,51344000,18413000,69757000,51344000,18413000,NA,NA,NA
134100000,100100000,33996000,72968000,48043000,24924000,61128000,52057000,9071500
