LL.4,LL.8,LL.12,LL.16,LL.20,LL.24,LL.28,LL.32,LL.36,LL.40,LL.44,LL.48
-0.29154677,-0.07958869,0.00544479,-0.05888696,-0.10500749,-0.00676258,-0.11054719,-0.02013444,0.20749364,0.10951886,-0.03219806,0.22154019
-0.33685446,-0.27660484,0.30783852,0.10111564,0.0666396,0.05866769,-0.2595004,-0.13941541,0.26235426,0.18527413,-0.17859467,0.08150103
-0.37860049,-0.28574329,0.37243918,0.04424746,0.08292039,0.19116555,-0.32229242,-0.2122814,0.35421948,-0.01819129,-0.13292279,0.14473384
0.23223874,-0.04800186,-0.21282635,0.01527793,0.034877,0.05992714,0.18155376,-0.18623601,-0.22816288,-0.0934209,0.16301809,0.00980353
0.19452762,-0.10382035,-0.23052134,0.02796145,0.01803676,0.02545914,0.08020322,-0.12532196,-0.19921412,-0.02389712,0.08751998,0.17680425
0.17566072,-0.03813432,-0.1876588,0.03794746,0.01625626,0.02434029,0.14952107,-0.10420661,-0.13663718,-0.02309926,0.08488823,0.00271449
0.03081856,0.29104488,0.17957863,0.04386635,-0.13957996,-0.38659269,-0.03945257,-0.0150482,0.06577123,0.02036416,-0.26763966,-0.29343798
-1.26321091,0.83533552,1.02937116,-0.73807991,-2.06172927,-2.152924,-1.39702407,1.03973037,1.24294773,0.17971095,-2.53209419,-2.08728179
-0.15783398,0.08464286,0.27358514,0.11765324,-0.18258318,-0.17231318,-0.23093974,0.14848642,0.17019812,0.16791455,-0.5101548,-0.19753747
-0.21103978,0.16852984,0.16518523,0.03728726,-0.36093985,-0.4380521,-0.08872099,0.37826717,0.21190009,0.15682377,-0.36466221,-0.1705708
0.15953708,0.34647367,-0.32138494,-0.17757718,-0.30768106,-0.14605169,0.08786284,0.30672423,-0.35158002,-0.0438327,-0.34240191,-0.25209763
-1.16518036,0.85340338,1.00268683,-0.63227112,-1.78637725,-1.67001886,-1.07437346,0.88263122,1.11068466,0.13722499,-2.04298814,-1.28940416
-1.63456326,0.93745516,1.07282567,-0.42036648,-1.96306136,-2.04328065,-1.27191677,0.97570031,1.15858323,0.1302832,-2.04785863,-1.96693818
-0.15597223,0.37283911,0.2520657,0.14026406,-0.22787331,-0.17566437,-0.11255248,0.27226984,-0.05978209,-0.11826519,-0.52544646,-0.34027263
-1.06813781,0.74824351,0.91444072,-0.53919461,-1.40168611,-1.40521025,-0.9379399,0.74257377,1.00253066,-0.00078383,-0.63270053,-1.03877434
